hq,jkb,kgb,gqd,pjld,gqp,pjlp,gqs,pjls,sjczl
25.95,1.0,2.28,431.0,1.94,0.0,0.0,0.0,0.0,139.5
26.46,1.0,2.28,431.0,1.94,0.0,0.0,0.0,0.0,136.1
23.67,1.0,2.28,431.0,1.94,437.4,0.23,437.4,0.28,161.2
22.78,1.0,2.28,431.0,1.94,437.4,0.45,437.4,0.28,148.3
20.38,1.0,2.28,431.0,1.94,437.4,0.68,437.4,0.28,141.2
25.95,1.0,2.28,431.0,1.94,437.4,0.68,437.4,0.28,170.9
26.71,1.0,2.28,431.0,1.94,437.4,0.91,437.4,0.28,184.1
25.06,1.0,2.28,431.0,1.94,437.4,0.45,437.4,0.63,170.6
25.7,1.0,2.28,431.0,1.94,437.4,0.68,437.4,0.63,171.9
24.18,1.0,2.28,431.0,1.94,437.4,0.91,437.4,0.63,161.9
23.29,1.0,2.28,431.0,1.94,437.4,0.23,437.4,1.25,161.0
24.3,1.0,2.28,431.0,1.94,437.4,0.45,437.4,1.25,172.7
26.33,1.0,2.28,431.0,1.94,437.4,0.68,437.4,1.25,178.6
25.19,1.0,2.28,431.0,1.94,437.4,0.91,437.4,1.25,168.1
27.47,1.21,2.64,431.0,1.94,0.0,0.0,0.0,0.0,149.0
27.97,1.21,2.64,431.0,1.94,437.4,0.23,437.4,0.24,147.5
25.44,1.21,2.64,431.0,1.94,437.4,0.45,437.4,0.24,143.6
26.33,1.21,2.64,431.0,1.94,437.4,0.68,437.4,0.24,140.3
24.68,1.21,2.64,431.0,1.94,437.4,0.91,437.4,0.24,153.4
24.3,1.21,2.64,431.0,1.94,437.4,0.23,437.4,0.42,129.0
24.05,1.21,2.64,431.0,1.94,437.4,0.45,437.4,0.42,131.2
27.59,1.21,2.64,431.0,1.94,437.4,0.68,437.4,0.42,149.9
25.06,1.21,2.64,431.0,1.94,437.4,0.91,437.4,0.42,145.2
20.51,1.21,2.64,431.0,1.94,437.4,0.23,437.4,0.63,130.8
25.82,1.21,2.64,431.0,1.94,437.4,0.23,437.4,0.77,159.0
24.05,1.21,2.64,431.0,1.94,437.4,0.45,437.4,0.77,158.4
24.3,1.21,2.64,431.0,1.94,437.4,0.68,437.4,0.77,155.0
26.08,1.21,2.64,431.0,1.94,437.4,0.91,437.4,0.77,166.1
21.65,1.21,2.64,431.0,1.94,437.4,0.23,437.4,1.25,153.5
24.3,1.5,3.14,431.0,1.94,437.4,0.23,437.4,0.18,119.0
27.72,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.18,123.4
28.73,1.5,3.14,431.0,1.94,437.4,0.68,437.4,0.18,131.0
27.59,1.5,3.14,431.0,1.94,437.4,0.91,437.4,0.18,122.3
25.19,1.5,3.14,431.0,1.94,437.4,0.23,437.4,0.31,124.1
24.3,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.31,103.6
24.43,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.31,115.3
25.82,1.5,3.14,431.0,1.94,437.4,0.68,437.4,0.31,124.6
26.33,1.5,3.14,431.0,1.94,437.4,0.91,437.4,0.31,124.1
26.58,1.5,3.14,431.0,1.94,437.4,0.23,437.4,0.56,140.8
20.89,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.56,125.0
23.16,1.5,3.14,431.0,1.94,437.4,0.68,437.4,0.56,127.7
24.05,1.5,3.14,431.0,1.94,437.4,0.91,437.4,0.56,137.2
24.81,1.5,3.14,431.0,1.94,437.4,0.23,437.4,0.77,146.6
23.42,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.63,128.6
24.3,1.5,3.14,431.0,1.94,437.4,0.45,437.4,0.77,152.4
23.42,1.5,3.14,431.0,1.94,437.4,0.68,437.4,0.77,152.6
26.84,1.5,3.14,431.0,1.94,437.4,0.91,437.4,0.77,159.5
24.68,2.08,4.14,431.0,1.94,0.0,0.0,0.0,0.0,73.4
20.38,2.08,4.14,431.0,1.94,437.4,0.23,437.4,0.42,87.4
31.14,0.43,1.2,286.8,0.62,0.0,0.0,279.9,2.45,224.0
26.84,0.54,1.5,286.8,0.79,0.0,0.0,279.9,2.45,190.0
26.84,0.74,2.0,286.8,1.09,0.0,0.0,279.9,2.45,164.0
27.47,1.18,3.0,286.8,1.73,0.0,0.0,279.9,2.45,90.0
24.3,0.35,1.0,286.8,0.52,0.0,0.0,303.4,0.86,249.0
23.54,0.43,1.2,286.8,0.62,0.0,0.0,303.4,0.86,224.0
25.19,0.54,1.5,286.8,0.79,0.0,0.0,303.4,0.86,216.0
28.86,0.74,2.0,286.8,1.09,0.0,0.0,303.4,0.86,140.0
25.44,1.18,3.0,286.8,1.73,0.0,0.0,303.4,0.86,100.0
31.01,1.17,4.0,335.3,1.63,0.0,0.0,331.1,0.46,256.6
30.38,1.17,4.0,335.3,1.63,0.0,0.0,331.1,0.61,290.0
32.78,1.17,4.0,335.3,1.63,0.0,0.0,331.1,0.61,312.2
31.39,1.17,4.0,335.3,1.63,0.0,0.0,331.1,0.61,334.4
31.01,1.17,4.0,335.3,1.63,0.0,0.0,331.1,0.61,334.9
35.7,1.17,4.0,335.3,2.44,0.0,0.0,331.1,0.92,394.9
29.24,1.17,4.0,335.3,1.63,0.0,0.0,331.1,1.22,312.2
30.0,0.85,3.57,410.0,1.56,0.0,0.0,0.0,0.0,265.2
30.0,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.12,284.05
30.0,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.22,377.0
30.0,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.34,357.5
62.15,0.5,3.57,410.0,1.56,0.0,0.0,0.0,0.0,642.2
62.15,0.5,3.57,410.0,1.56,410.0,0.43,410.0,0.22,705.9
62.15,0.5,3.57,410.0,1.56,410.0,0.43,410.0,0.34,708.5
62.15,0.5,3.57,410.0,1.56,0.0,0.0,0.0,0.0,401.1
62.15,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.12,488.15
62.15,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.22,456.3
62.15,0.85,3.57,410.0,1.56,410.0,0.43,410.0,0.34,420.55
62.15,1.25,3.57,410.0,1.56,0.0,0.0,0.0,0.0,337.4
62.15,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.12,347.1
62.15,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.22,380.9
62.15,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.34,402.35
62.15,2.0,3.57,410.0,1.56,0.0,0.0,0.0,0.0,112.5
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.12,210.6
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.22,237.25
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.34,235.3
