date,t,lights,T2,Windspeed,RH1,T3,RH6,RH8,RHO,t-1,t-2,t-3
2016/1/11 17:30,50,40,19.2,6,46.06666667,19.79,83.42333333,48.59,92,50,60,60
2016/1/11 17:40,60,40,19.2,5.666666667,46.33333333,19.79,84.89333333,48.59,92,50,50,60
2016/1/11 17:50,50,40,19.2,5.333333333,46.02666667,19.79,85.76666667,48.59,92,60,50,50
2016/1/11 18:00,60,50,19.2,5,45.76666667,19.79,86.09,48.59,92,50,60,50
2016/1/11 18:10,60,50,19.2,5.166666667,45.56,19.73,86.42333333,48.59,91.83333333,60,50,60
2016/1/11 18:20,60,40,19.2,5.333333333,45.5975,19.73,87.22666667,48.59,91.66666667,60,60,50
2016/1/11 18:30,70,40,19.23,5.5,46.09,19.79,87.62666667,48.59,91.5,60,60,60
2016/1/11 18:40,230,70,19.35666667,5.666666667,45.86333333,19.79,87.86666667,48.59,91.33333333,70,60,60
2016/1/11 18:50,580,60,19.42666667,5.833333333,46.39666667,19.79,87.99333333,48.63333333,91.16666667,230,70,60
2016/1/11 19:00,430,50,19.56666667,6,48,19.89,88.59,48.56,91,580,230,70
2016/1/11 19:10,250,40,19.73,6,52.72666667,19.89,88.215,48.66666667,90.5,430,580,230
2016/1/11 19:20,100,10,19.85666667,6,55.89333333,20.03333333,88.15666667,49.19333333,90,250,430,580
2016/1/11 19:30,100,10,20.03333333,6,53.89333333,20.1,88.36666667,49.2,89.5,100,250,430
2016/1/11 19:40,90,10,20.16666667,6,52.66,20.2,88.16,49.63333333,89,100,100,250
2016/1/11 19:50,70,30,20.2,6,53.66,20.2,87.3,50.02666667,88.5,90,100,100
2016/1/11 20:00,80,30,20.2,6,51.19333333,20.2,86.76,50.2,88,70,90,100
2016/1/11 20:10,140,40,20.2,6,49.8,20.16666667,87.46333333,50.26,87.83333333,80,70,90
2016/1/11 20:20,120,20,20.2,6,48.43333333,20.16666667,87.53,50.23,87.66666667,140,80,70
2016/1/11 20:30,190,40,20.26,6,47.63333333,20.2,86.95666667,50.29,87.5,120,140,80
2016/1/11 20:40,110,40,20.29,6,47.06333333,20.26,86.56333333,50.16333333,87.33333333,190,120,140
2016/1/11 20:50,110,40,20.35666667,6,46.59666667,20.29,86.33,50.03,87.16666667,110,190,120
2016/1/11 21:00,110,30,20.42666667,6,46.06,20.29,86.06333333,49.76,87,110,110,190
2016/1/11 21:10,110,20,20.5,6,45.8,20.39,85.59,49.7,87.16666667,110,110,110
2016/1/11 21:20,100,30,20.53333333,6,45.9,20.39,85.73,49.63333333,87.33333333,110,110,110
2016/1/11 21:30,100,20,20.66666667,6,45.82666667,20.39,86.32666667,49.43333333,87.5,100,110,110
2016/1/11 21:40,100,20,20.7,6,45.69,20.39,86.6,49.4,87.66666667,100,100,110
2016/1/11 21:50,100,20,20.7,6,45.33333333,20.39,86.46666667,49.32666667,87.83333333,100,100,100
2016/1/11 22:00,110,20,20.79,6,45.12666667,20.39,86.325,49.16333333,88,100,100,100
2016/1/11 22:10,400,20,20.79,6.166666667,44.96666667,20.42666667,86.22666667,49.03,87.83333333,110,100,100
2016/1/11 22:20,400,20,20.89,6.333333333,44.76666667,20.5,85.76666667,48.86333333,87.66666667,400,110,100
2016/1/11 22:30,390,30,20.96333333,6.5,44.56,20.5,85.03333333,48.86333333,87.5,400,400,110
2016/1/11 22:40,240,20,21,6.666666667,44.36,20.5,84.12666667,48.95,87.33333333,390,400,400
2016/1/11 22:50,60,20,21,6.833333333,44.2,20.5,84.06,49.23,87.16666667,240,390,400
2016/1/11 23:00,60,20,21,7,44.2,20.4175,84.79,49.43,87,60,240,390
2016/1/11 23:10,60,20,21,6.833333333,44.2,20.39,85.59666667,49.89,87.83333333,60,60,240
2016/1/11 23:20,50,10,21,6.666666667,44.2,20.29,86.26,50.16333333,88.66666667,60,60,60
2016/1/11 23:30,70,20,20.92666667,6.5,44.23,20.29,86.59333333,50.46333333,89.5,50,60,60
2016/1/11 23:40,60,20,20.89,6.333333333,44.36333333,20.29,87.49666667,50.72333333,90.33333333,70,50,60
2016/1/11 23:50,40,20,20.79,6.166666667,44.43333333,20.23,87.89666667,50.96333333,91.16666667,60,70,50
2016/1/12 0:00,40,10,20.79,6,44.56,20.2,88.63333333,51.16333333,92,40,60,70
2016/1/12 0:10,30,20,20.7,6,44.82666667,20.2,89.02666667,51.5,92,40,40,60
2016/1/12 0:20,40,20,20.63333333,6,44.96666667,20.16666667,89.4,51.56,92,30,40,40
2016/1/12 0:30,50,20,20.6,6,45.09,20.1,89.19333333,51.86,92,40,30,40
2016/1/12 0:40,310,10,20.6,6,45.09,20.1,89.4,52,92,50,40,30
2016/1/12 0:50,380,20,20.5,6,45.23,20.1,88.99,52.09,92,310,50,40
