to,tp
370.0,288.68054
590.0,291.85995
320.0,468.31378
310.0,228.03757
260.0,329.63837
190.0,244.56876
150.0,190.29694
130.0,158.50885
290.0,135.53972
490.0,283.72928
840.0000000000001,395.29492
700.0,552.5139
429.99999999999994,397.25208
300.0,362.4167
310.0,313.1999
290.0,309.17734
300.0,267.23013
240.0,282.56985
160.0,223.83362
90.0,164.4216
70.0,102.61153
80.0,83.49666
80.0,85.67221
80.0,80.32975
570.0,82.001564
610.0,498.64554
330.0,361.24414
350.0,268.36322
260.0,363.50784
270.0,236.61232
210.00000000000003,270.33813
100.0,198.15858
100.0,107.41009
90.0,119.44387
100.0,91.22449
109.99999999999999,103.10134
100.0,109.26901
80.0,99.0808
90.0,83.02099
90.0,95.230125
80.0,89.88051
90.0,81.675255
90.0,93.55702
250.0,89.88051
390.0,245.85385
190.0,325.80753
100.0,150.42973
280.0,131.2365
560.0,288.0897
600.0,438.26883
290.0,404.55307
90.0,238.32875
370.0,136.04523
670.0,384.2167
230.0,470.09628
160.0,136.70381
90.0,223.82463
70.0,100.94326
70.0,83.49666
70.0,75.78442
70.0,72.441635
70.0,72.441635
70.0,72.441635
70.0,72.441635
70.0,72.441635
80.0,72.441635
60.0,82.32778
50.0,60.565834
60.0,56.346703
40.0,64.87843
70.0,41.472294
70.0,76.76146
60.0,67.43402
80.0,62.557854
70.0,84.32607
80.0,68.77788
70.0,83.99994
70.0,70.447
70.0,74.11271
70.0,72.441635
70.0,72.441635
70.0,72.441635
60.0,72.441635
70.0,62.557854
80.0,74.43783
109.99999999999999,80.65593
70.0,109.94448
50.0,66.14067
50.0,59.36861
40.0,56.67344
20.0,43.46675
40.0,25.796425
30.0,47.806236
70.0,30.617949
50.0,75.415436
60.0,46.02265
50.0,66.5503
50.0,51.337093
60.0,55.001476
40.0,63.207733
60.0,41.472294
50.0,66.87723
60.0,49.671062
50.0,64.87843
60.0,51.337093
50.0,64.87843
40.0,51.337093
50.0,45.13681
40.0,55.32945
50.0,41.799088
50.0,55.32945
60.0,51.66281
50.0,63.207733
60.0,51.337093
40.0,64.87843
20.0,41.472294
40.0,27.4706
40.0,47.806236
50.0,40.46244
50.0,53.65883
60.0,51.66281
50.0,63.207733
60.0,51.337093
50.0,64.87843
50.0,51.337093
50.0,55.001476
50.0,53.331215
50.0,53.331215
60.0,53.331215
50.0,63.207733
60.0,51.337093
60.0,64.87843
50.0,61.213173
50.0,53.005165
50.0,55.001476
50.0,53.331215
50.0,53.331215
60.0,53.331215
60.0,63.207733
80.0,61.213173
50.0,82.65386
50.0,49.02515
60.0,58.346916
60.0,63.207733
60.0,61.213173
60.0,62.88228
70.0,62.88228
200.0,72.76661
160.0,197.89967
50.0,133.61256
160.0,56.522926
60.0,180.00745
60.0,41.46228
50.0,79.619095
40.0,53.005165
60.0,45.13681
60.0,65.205086
60.0,59.54557
70.0,62.88228
90.0,72.76661
80.0,90.53829
80.0,78.33215
90.0,83.67367
100.0,91.8835
100.0,99.75001
100.0,99.416
90.0,101.09222
100.0,91.22449
90.0,103.10134
100.0,89.55061
90.0,103.10134
109.99999999999999,89.55061
90.0,112.963425
100.0,87.54611
90.0,104.77573
70.0,89.55061
60.0,73.46396
60.0,65.89946
80.0,64.55274
80.0,82.65386
120.0,78.6584
120.0,121.47154
109.99999999999999,113.35504
140.0,110.265686
109.99999999999999,141.72629
109.99999999999999,104.53422
109.99999999999999,115.63639
120.0,110.607574
100.0,120.44111
80.0,98.74447
100.0,84.69319
270.0,105.108025
250.0,260.25418
109.99999999999999,205.6777
130.0,109.060844
429.99999999999994,153.52463
300.0,392.98306
270.0,211.21857
240.0,274.47574
219.99999999999997,232.5657
360.0,215.88313
429.99999999999994,338.0509
450.0,349.60614
439.99999999999994,370.14435
410.00000000000006,370.38678
100.0,355.36603
120.0,95.544876
109.99999999999999,171.21312
120.0,106.90599
120.0,122.121185
100.0,118.41069
170.0,100.42104
100.0,172.97688
90.0,86.97594
90.0,102.925865
90.0,93.22788
120.0,91.55431
120.0,121.13049
109.99999999999999,115.04157
109.99999999999999,110.265686
100.0,112.28534
100.0,100.75719
70.0,102.76767
80.0,71.46973
80.0,87.344444
80.0,80.32975
80.0,82.001564
90.0,82.001564
80.0,91.8835
70.0,80.00346
60.0,73.78806
40.0,64.228065
40.0,44.80915
30.0,47.13935
50.0,33.950302
60.0,55.658936
60.0,59.8705
50.0,61.213173
50.0,53.005165
50.0,55.001476
60.0,53.331215
50.0,63.207733
60.0,51.337093
60.0,64.87843
60.0,61.213173
50.0,62.88228
50.0,53.005165
50.0,55.001476
50.0,53.331215
