to,tp
50.0,59.461536
50.0,46.55603
40.0,48.01627
50.0,39.320133
40.0,51.11371
60.0,39.89402
60.0,60.194344
60.0,58.096157
60.0,58.057953
60.0,59.066643
40.0,59.938065
50.0,40.855415
50.0,52.76268
50.0,51.38498
60.0,50.170105
50.0,59.599636
60.0,48.728527
50.0,60.07029
60.0,49.544205
50.0,60.37413
50.0,49.912224
40.0,50.47136
20.0,40.7985
30.0,20.50944
40.0,32.040623
60.0,40.06099
50.0,57.547535
50.0,44.74771
60.0,46.325226
80.0,58.770374
80.0,78.28419
50.0,76.44216
70.0,48.514156
300.0,72.81531
370.0,290.26028
590.0,275.9337
320.0,428.82416
310.0,257.55606
260.0,285.22372
190.0,243.31905
150.0,194.62279
130.0,163.20372
290.0,144.83669
490.0,284.9267
840.0000000000001,377.21198
700.0,521.2325
429.99999999999994,424.84973
300.0,350.89737
310.0,277.9688
290.0,289.40762
300.0,266.36398
240.0,274.56332
160.0,225.06696
90.0,166.93697
70.0,109.19677
80.0,92.19757
80.0,98.899734
80.0,89.44433
570.0,83.65231
610.0,503.5431
330.0,352.93225
350.0,278.90796
260.0,311.13928
270.0,241.22786
210.00000000000003,259.79794
100.0,205.18095
100.0,117.53449
90.0,122.49709
100.0,110.19116
109.99999999999999,114.319115
100.0,117.058685
80.0,103.320015
90.0,85.024956
90.0,97.10903
80.0,95.640236
90.0,86.38814
90.0,98.98711
250.0,99.68177
390.0,250.53737
190.0,314.003
100.0,165.8565
280.0,102.332436
560.0,289.78073
600.0,428.71094
290.0,396.48383
90.0,255.35307
370.0,116.655876
670.0,381.56238
230.0,462.6527
160.0,215.00302
90.0,170.95192
70.0,112.29482
70.0,97.51893
70.0,93.27779
70.0,83.59982
70.0,77.79463
70.0,75.20212
70.0,74.69735
70.0,73.63024
80.0,72.957596
60.0,82.36634
50.0,61.710968
60.0,53.720478
40.0,65.240326
70.0,42.929615
70.0,74.05167
60.0,69.69288
80.0,59.29424
70.0,81.5509
80.0,70.23794
70.0,83.40381
70.0,74.986565
70.0,74.87447
70.0,73.98021
70.0,74.7479
70.0,76.92889
60.0,77.46404
70.0,65.88308
80.0,74.76867
109.99999999999999,84.8701
70.0,115.05841
50.0,71.77934
50.0,55.292824
40.0,57.66194
20.0,45.452507
40.0,23.172985
30.0,43.642715
70.0,29.759584
50.0,70.19732
60.0,45.509888
50.0,57.755844
50.0,49.49394
60.0,51.22896
40.0,61.826626
60.0,39.75914
50.0,61.70392
60.0,49.32867
50.0,60.130672
60.0,49.712555
50.0,60.58563
40.0,50.521587
50.0,41.031185
40.0,52.70544
50.0,40.929802
50.0,51.124172
60.0,49.842186
50.0,59.63517
60.0,49.081245
40.0,60.395844
20.0,40.081367
40.0,21.084152
40.0,44.175156
50.0,41.26548
50.0,49.09546
60.0,47.31011
50.0,57.89698
60.0,48.06663
50.0,59.25749
50.0,49.123394
50.0,49.84119
50.0,50.7652
50.0,50.23787
60.0,50.12175
50.0,59.845196
60.0,48.820663
60.0,60.099777
50.0,59.35319
50.0,49.60475
50.0,50.809097
50.0,51.038727
50.0,50.539417
60.0,50.083256
60.0,59.809708
80.0,58.610645
50.0,78.883156
50.0,48.084538
60.0,51.235424
60.0,62.76266
60.0,60.914997
60.0,60.091084
70.0,60.02378
200.0,70.28631
160.0,195.28459
50.0,137.0693
160.0,51.83504
60.0,172.221
60.0,65.179535
50.0,69.51391
40.0,59.39967
60.0,46.482925
60.0,65.61248
60.0,59.346542
70.0,58.50213
90.0,69.00376
80.0,88.442085
80.0,77.59764
90.0,79.684654
100.0,91.129776
100.0,100.2971
100.0,99.441605
90.0,100.0354
100.0,91.57808
90.0,102.90805
100.0,92.24006
90.0,102.70219
109.99999999999999,91.99507
90.0,112.446
100.0,91.12994
90.0,102.72865
70.0,92.61303
60.0,74.16067
60.0,66.0239
80.0,65.9552
80.0,84.38743
120.0,81.99307
120.0,120.67052
109.99999999999999,114.9989
140.0,109.071526
109.99999999999999,140.06314
109.99999999999999,109.827515
109.99999999999999,113.87089
120.0,113.90255
100.0,122.767334
80.0,102.53875
100.0,85.04005
270.0,106.65181
250.0,259.9469
109.99999999999999,205.65796
130.0,110.876175
429.99999999999994,140.56627
300.0,397.5274
270.0,232.17746
240.0,245.26367
219.99999999999997,224.71991
360.0,214.97942
429.99999999999994,326.71136
450.0,337.4818
439.99999999999994,350.2891
410.00000000000006,347.4243
100.0,334.23825
120.0,130.06793
109.99999999999999,144.02309
120.0,135.21298
120.0,137.71092
100.0,127.045074
170.0,102.74071
100.0,171.5029
90.0,99.28556
90.0,96.74987
90.0,99.411705
120.0,98.2325
120.0,124.97292
109.99999999999999,118.70808
109.99999999999999,110.30889
100.0,113.09341
100.0,104.460884
70.0,105.373405
80.0,76.160645
80.0,89.86596
80.0,88.35812
80.0,85.32735
90.0,84.159325
80.0,96.5663
70.0,85.61636
60.0,76.606674
40.0,67.65387
40.0,47.725384
30.0,49.669357
50.0,39.29142
60.0,59.59206
60.0,65.96808
50.0,63.26148
50.0,51.039925
50.0,52.49093
60.0,53.111576
50.0,62.854946
60.0,51.214058
60.0,61.763885
60.0,62.181072
50.0,61.64669
50.0,51.64696
50.0,52.552143
