t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
60.0,50.0,60.0,60.0,60.0,70.0,230.0,580.0,430.0,250.0,100.0,100.0,90
50.0,60.0,60.0,60.0,70.0,230.0,580.0,430.0,250.0,100.0,100.0,90.0,70
60.0,60.0,60.0,70.0,230.0,580.0,430.0,250.0,100.0,100.0,90.0,70.0,80
60.0,60.0,70.0,230.0,580.0,430.0,250.0,100.0,100.0,90.0,70.0,80.0,140
60.0,70.0,230.0,580.0,430.0,250.0,100.0,100.0,90.0,70.0,80.0,140.0,120
70.0,230.0,580.0,430.0,250.0,100.0,100.0,90.0,70.0,80.0,140.0,120.0,190
230.0,580.0,430.0,250.0,100.0,100.0,90.0,70.0,80.0,140.0,120.0,190.0,110
580.0,430.0,250.0,100.0,100.0,90.0,70.0,80.0,140.0,120.0,190.0,110.0,110
430.0,250.0,100.0,100.0,90.0,70.0,80.0,140.0,120.0,190.0,110.0,110.0,110
250.0,100.0,100.0,90.0,70.0,80.0,140.0,120.0,190.0,110.0,110.0,110.0,110
100.0,100.0,90.0,70.0,80.0,140.0,120.0,190.0,110.0,110.0,110.0,110.0,100
100.0,90.0,70.0,80.0,140.0,120.0,190.0,110.0,110.0,110.0,110.0,100.0,100
90.0,70.0,80.0,140.0,120.0,190.0,110.0,110.0,110.0,110.0,100.0,100.0,100
70.0,80.0,140.0,120.0,190.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100
80.0,140.0,120.0,190.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,110
140.0,120.0,190.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,110.0,400
120.0,190.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,110.0,400.0,400
190.0,110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,110.0,400.0,400.0,390
110.0,110.0,110.0,110.0,100.0,100.0,100.0,100.0,110.0,400.0,400.0,390.0,240
110.0,110.0,110.0,100.0,100.0,100.0,100.0,110.0,400.0,400.0,390.0,240.0,60
110.0,110.0,100.0,100.0,100.0,100.0,110.0,400.0,400.0,390.0,240.0,60.0,60
110.0,100.0,100.0,100.0,100.0,110.0,400.0,400.0,390.0,240.0,60.0,60.0,60
100.0,100.0,100.0,100.0,110.0,400.0,400.0,390.0,240.0,60.0,60.0,60.0,50
100.0,100.0,100.0,110.0,400.0,400.0,390.0,240.0,60.0,60.0,60.0,50.0,70
100.0,100.0,110.0,400.0,400.0,390.0,240.0,60.0,60.0,60.0,50.0,70.0,60
100.0,110.0,400.0,400.0,390.0,240.0,60.0,60.0,60.0,50.0,70.0,60.0,40
110.0,400.0,400.0,390.0,240.0,60.0,60.0,60.0,50.0,70.0,60.0,40.0,40
400.0,400.0,390.0,240.0,60.0,60.0,60.0,50.0,70.0,60.0,40.0,40.0,30
400.0,390.0,240.0,60.0,60.0,60.0,50.0,70.0,60.0,40.0,40.0,30.0,40
390.0,240.0,60.0,60.0,60.0,50.0,70.0,60.0,40.0,40.0,30.0,40.0,50
240.0,60.0,60.0,60.0,50.0,70.0,60.0,40.0,40.0,30.0,40.0,50.0,310
60.0,60.0,60.0,50.0,70.0,60.0,40.0,40.0,30.0,40.0,50.0,310.0,380
60.0,60.0,50.0,70.0,60.0,40.0,40.0,30.0,40.0,50.0,310.0,380.0,380
60.0,50.0,70.0,60.0,40.0,40.0,30.0,40.0,50.0,310.0,380.0,380.0,370
50.0,70.0,60.0,40.0,40.0,30.0,40.0,50.0,310.0,380.0,380.0,370.0,120
70.0,60.0,40.0,40.0,30.0,40.0,50.0,310.0,380.0,380.0,370.0,120.0,50
60.0,40.0,40.0,30.0,40.0,50.0,310.0,380.0,380.0,370.0,120.0,50.0,40
40.0,40.0,30.0,40.0,50.0,310.0,380.0,380.0,370.0,120.0,50.0,40.0,50
40.0,30.0,40.0,50.0,310.0,380.0,380.0,370.0,120.0,50.0,40.0,50.0,40
30.0,40.0,50.0,310.0,380.0,380.0,370.0,120.0,50.0,40.0,50.0,40.0,50
40.0,50.0,310.0,380.0,380.0,370.0,120.0,50.0,40.0,50.0,40.0,50.0,50
50.0,310.0,380.0,380.0,370.0,120.0,50.0,40.0,50.0,40.0,50.0,50.0,50
310.0,380.0,380.0,370.0,120.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40
380.0,380.0,370.0,120.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40
380.0,370.0,120.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,40.0,30
