t-3,t-2,t-1,t
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,70
60.0,60.0,70.0,230
60.0,70.0,230.0,580
70.0,230.0,580.0,430
230.0,580.0,430.0,250
580.0,430.0,250.0,100
430.0,250.0,100.0,100
250.0,100.0,100.0,90
100.0,100.0,90.0,70
100.0,90.0,70.0,80
90.0,70.0,80.0,140
70.0,80.0,140.0,120
80.0,140.0,120.0,190
140.0,120.0,190.0,110
120.0,190.0,110.0,110
190.0,110.0,110.0,110
110.0,110.0,110.0,110
110.0,110.0,110.0,100
110.0,110.0,100.0,100
110.0,100.0,100.0,100
100.0,100.0,100.0,100
100.0,100.0,100.0,110
100.0,100.0,110.0,400
100.0,110.0,400.0,400
110.0,400.0,400.0,390
400.0,400.0,390.0,240
400.0,390.0,240.0,60
390.0,240.0,60.0,60
240.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,70
60.0,50.0,70.0,60
50.0,70.0,60.0,40
70.0,60.0,40.0,40
60.0,40.0,40.0,30
40.0,40.0,30.0,40
40.0,30.0,40.0,50
30.0,40.0,50.0,310
40.0,50.0,310.0,380
50.0,310.0,380.0,380
310.0,380.0,380.0,370
380.0,380.0,370.0,120
380.0,370.0,120.0,50
370.0,120.0,50.0,40
120.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,30
40.0,40.0,30.0,20
40.0,30.0,20.0,20
30.0,20.0,20.0,40
20.0,20.0,40.0,50
20.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,60
40.0,40.0,60.0,50
40.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,70
40.0,50.0,70.0,40
50.0,70.0,40.0,30
70.0,40.0,30.0,20
40.0,30.0,20.0,30
30.0,20.0,30.0,40
20.0,30.0,40.0,50
30.0,40.0,50.0,60
40.0,50.0,60.0,60
50.0,60.0,60.0,70
60.0,60.0,70.0,60
60.0,70.0,60.0,140
70.0,60.0,140.0,110
60.0,140.0,110.0,90
140.0,110.0,90.0,60
110.0,90.0,60.0,60
90.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,30
60.0,50.0,30.0,40
50.0,30.0,40.0,30
30.0,40.0,30.0,260
40.0,30.0,260.0,500
30.0,260.0,500.0,450
260.0,500.0,450.0,50
500.0,450.0,50.0,60
450.0,50.0,60.0,60
50.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,190
60.0,60.0,190.0,220
60.0,190.0,220.0,170
190.0,220.0,170.0,390
220.0,170.0,390.0,90
170.0,390.0,90.0,60
390.0,90.0,60.0,290
90.0,60.0,290.0,130
60.0,290.0,130.0,140
290.0,130.0,140.0,240
130.0,140.0,240.0,50
140.0,240.0,50.0,60
240.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,370
60.0,60.0,370.0,200
60.0,370.0,200.0,70
370.0,200.0,70.0,50
200.0,70.0,50.0,40
70.0,50.0,40.0,40
50.0,40.0,40.0,30
40.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,60
40.0,40.0,60.0,60
40.0,60.0,60.0,210
60.0,60.0,210.0,380
60.0,210.0,380.0,370
210.0,380.0,370.0,230
380.0,370.0,230.0,80
370.0,230.0,80.0,90
230.0,80.0,90.0,70
80.0,90.0,70.0,40
90.0,70.0,40.0,40
70.0,40.0,40.0,30
40.0,40.0,30.0,50
40.0,30.0,50.0,50
30.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,60
50.0,60.0,60.0,40
60.0,60.0,40.0,30
60.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,20
50.0,30.0,20.0,30
30.0,20.0,30.0,20
20.0,30.0,20.0,40
30.0,20.0,40.0,50
20.0,40.0,50.0,60
40.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,30
50.0,40.0,30.0,20
40.0,30.0,20.0,20
30.0,20.0,20.0,20
20.0,20.0,20.0,50
20.0,20.0,50.0,50
20.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,20
40.0,50.0,20.0,20
50.0,20.0,20.0,50
20.0,20.0,50.0,30
20.0,50.0,30.0,50
50.0,30.0,50.0,50
30.0,50.0,50.0,200
50.0,50.0,200.0,110
50.0,200.0,110.0,80
200.0,110.0,80.0,50
110.0,80.0,50.0,50
80.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,30
40.0,40.0,30.0,180
40.0,30.0,180.0,350
30.0,180.0,350.0,350
180.0,350.0,350.0,300
350.0,350.0,300.0,400
350.0,300.0,400.0,390
300.0,400.0,390.0,290
400.0,390.0,290.0,60
390.0,290.0,60.0,70
290.0,60.0,70.0,110
60.0,70.0,110.0,90
70.0,110.0,90.0,60
110.0,90.0,60.0,70
90.0,60.0,70.0,80
60.0,70.0,80.0,60
70.0,80.0,60.0,40
80.0,60.0,40.0,30
60.0,40.0,30.0,70
40.0,30.0,70.0,50
30.0,70.0,50.0,80
70.0,50.0,80.0,80
50.0,80.0,80.0,50
80.0,80.0,50.0,40
80.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,30
40.0,50.0,30.0,30
50.0,30.0,30.0,20
30.0,30.0,20.0,20
30.0,20.0,20.0,50
20.0,20.0,50.0,40
20.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,60
50.0,40.0,60.0,40
40.0,60.0,40.0,40
60.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,30
40.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,80
30.0,40.0,80.0,70
40.0,80.0,70.0,80
80.0,70.0,80.0,70
70.0,80.0,70.0,80
80.0,70.0,80.0,80
70.0,80.0,80.0,100
80.0,80.0,100.0,90
80.0,100.0,90.0,100
100.0,90.0,100.0,90
90.0,100.0,90.0,110
100.0,90.0,110.0,90
90.0,110.0,90.0,100
110.0,90.0,100.0,100
