t-6,t-5,t-4,t-3,t-2,t-1,t
60.0,50.0,60.0,60.0,60.0,70.0,230
50.0,60.0,60.0,60.0,70.0,230.0,580
60.0,60.0,60.0,70.0,230.0,580.0,430
60.0,60.0,70.0,230.0,580.0,430.0,250
60.0,70.0,230.0,580.0,430.0,250.0,100
70.0,230.0,580.0,430.0,250.0,100.0,100
230.0,580.0,430.0,250.0,100.0,100.0,90
580.0,430.0,250.0,100.0,100.0,90.0,70
430.0,250.0,100.0,100.0,90.0,70.0,80
250.0,100.0,100.0,90.0,70.0,80.0,140
100.0,100.0,90.0,70.0,80.0,140.0,120
100.0,90.0,70.0,80.0,140.0,120.0,190
90.0,70.0,80.0,140.0,120.0,190.0,110
70.0,80.0,140.0,120.0,190.0,110.0,110
80.0,140.0,120.0,190.0,110.0,110.0,110
140.0,120.0,190.0,110.0,110.0,110.0,110
120.0,190.0,110.0,110.0,110.0,110.0,100
190.0,110.0,110.0,110.0,110.0,100.0,100
110.0,110.0,110.0,110.0,100.0,100.0,100
110.0,110.0,110.0,100.0,100.0,100.0,100
110.0,110.0,100.0,100.0,100.0,100.0,110
110.0,100.0,100.0,100.0,100.0,110.0,400
100.0,100.0,100.0,100.0,110.0,400.0,400
100.0,100.0,100.0,110.0,400.0,400.0,390
100.0,100.0,110.0,400.0,400.0,390.0,240
100.0,110.0,400.0,400.0,390.0,240.0,60
110.0,400.0,400.0,390.0,240.0,60.0,60
400.0,400.0,390.0,240.0,60.0,60.0,60
400.0,390.0,240.0,60.0,60.0,60.0,50
390.0,240.0,60.0,60.0,60.0,50.0,70
240.0,60.0,60.0,60.0,50.0,70.0,60
60.0,60.0,60.0,50.0,70.0,60.0,40
60.0,60.0,50.0,70.0,60.0,40.0,40
60.0,50.0,70.0,60.0,40.0,40.0,30
50.0,70.0,60.0,40.0,40.0,30.0,40
70.0,60.0,40.0,40.0,30.0,40.0,50
60.0,40.0,40.0,30.0,40.0,50.0,310
40.0,40.0,30.0,40.0,50.0,310.0,380
40.0,30.0,40.0,50.0,310.0,380.0,380
30.0,40.0,50.0,310.0,380.0,380.0,370
40.0,50.0,310.0,380.0,380.0,370.0,120
50.0,310.0,380.0,380.0,370.0,120.0,50
310.0,380.0,380.0,370.0,120.0,50.0,40
380.0,380.0,370.0,120.0,50.0,40.0,50
380.0,370.0,120.0,50.0,40.0,50.0,40
370.0,120.0,50.0,40.0,50.0,40.0,50
120.0,50.0,40.0,50.0,40.0,50.0,50
50.0,40.0,50.0,40.0,50.0,50.0,50
40.0,50.0,40.0,50.0,50.0,50.0,40
50.0,40.0,50.0,50.0,50.0,40.0,40
40.0,50.0,50.0,50.0,40.0,40.0,30
50.0,50.0,50.0,40.0,40.0,30.0,20
