,t
50,4367
60,3280
40,2019
70,1560
80,1205
90,1015
100,978
110,736
30,723
120,502
20,343
130,330
140,223
150,144
160,90
260,89
270,87
190,86
240,84
280,82
230,82
180,78
250,77
300,73
220,73
310,70
170,70
290,69
210,69
330,66
390,62
350,62
360,62
340,61
320,60
370,59
200,58
400,46
380,43
410,40
420,33
440,33
430,25
450,24
470,24
480,21
460,21
510,19
490,18
590,17
610,16
530,16
600,15
620,14
560,14
500,13
520,13
660,11
630,11
580,11
540,10
550,10
10,9
700,9
690,9
570,8
710,8
720,7
640,7
650,7
750,7
680,6
740,5
790,4
760,4
780,4
670,4
800,3
730,3
850,2
770,2
820,2
880,1
830,1
910,1
840,1
1080,1
870,1
890,1
900,1
860,1
1070,1
